Alex Valento, 2020-09-05 21:58:47.771827 
Alex Valento, 2020-09-05 22:01:21.142153 
Alex Valento, 2020-09-05 23:11:41.633520 
Alex Valento, 2020-09-05 23:20:35.426622 
Alex Valento, 2020-09-05 23:25:52.867511 
Alex Valento, 2020-09-05 23:29:16.181889 
Alex Valento, 2020-09-05 23:33:41.656060 
Alex Valento, 2020-09-05 23:36:49.789665 
Alex Valento, 2020-09-06 01:43:09.697393 
Alex Valento, 2020-09-06 01:43:43.855581 
Alex Valento, 2020-09-06 01:44:26.989577 
Ivan Ivanov, 2020-09-06 01:45:25.767710 
Ivan Ivanov, 2020-09-06 01:49:40.602336
